city,area_sqft,bedrooms,bathrooms,age_years,parking,furnishing,floor,total_floors,gym,swimming_pool,security,near_school,near_hospital,near_market,price
Delhi,904.5417470131366,5,3,7.288242421851953,1,Unfurnished,Top,4,0,0,1,1,0,0,11967829.0
Ahmedabad,1839.3640346397094,4,3,37.06896111415201,2,Unfurnished,Top,2,1,1,1,0,0,0,12873741.0
Hyderabad,1035.431829745121,4,1,6.872762920729646,1,Unfurnished,Ground,2,0,0,2,1,1,1,8278627.0
Delhi,932.9899070325209,3,2,11.129870264981305,0,Fully Furnished,Ground,3,0,0,1,1,1,1,12742632.0
Kolkata,1326.6142116166438,3,2,2.651525967946199,1,Semi Furnished,Ground,2,0,0,1,0,1,1,11253767.0
Mumbai,1207.103638275655,3,2,19.975570047319977,2,Unfurnished,Mid,2,1,0,1,1,0,0,15608987.0
Lucknow,1389.2001528074804,2,2,12.32428573798737,1,Fully Furnished,Mid,5,1,0,1,0,0,1,10124166.0
Hyderabad,779.5091827375406,3,2,8.694798829570392,0,Fully Furnished,Mid,3,0,0,0,0,0,0,7070475.0
Jaipur,1979.4081532338362,3,1,44.11481680489166,1,Fully Furnished,Mid,3,1,0,1,1,0,1,12133943.0
Mumbai,2063.8431472582142,2,2,33.19813877282798,1,Fully Furnished,Ground,3,1,1,1,0,1,1,29715599.0
Lucknow,526.3287629295928,4,2,16.160598888161164,0,Semi Furnished,Ground,2,0,0,0,0,1,0,2968105.0
Bangalore,1989.228902833275,2,2,38.22966435779194,1,Unfurnished,Ground,4,0,0,1,1,1,0,15650817.0
Pune,1094.735685089187,3,4,12.478616292294294,1,Unfurnished,Ground,2,1,0,1,0,0,0,9743196.0
Chennai,1928.4877684913931,2,2,26.311506983602246,0,Semi Furnished,Ground,4,0,0,2,0,0,0,12954585.0
Jaipur,1465.7767536667923,3,2,7.90077276690605,1,Unfurnished,Top,2,0,0,2,0,0,1,10315801.0
Bangalore,1514.3877820404994,1,2,1.3610887936294331,2,Fully Furnished,Ground,5,1,0,0,0,0,1,18847943.0
Kolkata,1407.4511752893907,2,3,77.11608810997001,1,Unfurnished,Ground,4,0,0,1,0,1,1,7680419.0
Bangalore,2106.064602116743,3,1,2.7162022897038023,0,Fully Furnished,Top,2,0,0,1,0,0,1,28053294.0
Pune,880.2059937374859,3,4,4.345462315740932,1,Semi Furnished,Mid,2,1,0,0,0,0,1,9995843.0
Kolkata,1803.9201693675043,3,2,2.6708210989113055,0,Unfurnished,Ground,1,0,1,0,0,0,0,14217803.0
Jaipur,2050.665082444775,2,2,6.175557080117392,2,Unfurnished,Top,2,0,0,2,0,1,1,14573016.0
Pune,1858.1700402702054,3,4,5.122153896483629,2,Semi Furnished,Top,3,0,0,0,0,0,0,21100442.0
Delhi,2662.349457161709,3,3,13.785752354417331,2,Fully Furnished,Top,3,0,0,2,1,0,1,31655517.125
Chennai,1235.5266186376507,3,2,80.0,1,Unfurnished,Top,3,0,0,1,0,1,1,8732404.0
Jaipur,1978.6524112967656,4,1,0.8090684896789784,1,Fully Furnished,Mid,1,1,0,1,0,0,1,17285271.0
Delhi,1446.9546823292899,3,3,22.606138464149357,2,Unfurnished,Mid,1,1,0,1,1,0,0,15761502.0
Lucknow,2116.7030381763348,3,2,2.0543489117145697,0,Semi Furnished,Mid,3,0,0,1,1,1,1,13377260.0
Jaipur,1496.1555021393153,4,2,0.3005156891018213,0,Unfurnished,Ground,4,0,0,2,0,0,0,11024417.0
Lucknow,1306.0621090687653,4,2,15.265586456149506,1,Fully Furnished,Top,2,1,1,2,1,1,1,12848107.0
Kolkata,2153.0361019358143,5,2,30.990800927469785,2,Unfurnished,Ground,2,0,0,0,0,0,1,12203288.0
Delhi,1254.219030490535,3,3,2.9092062008490496,1,Semi Furnished,Top,2,1,0,1,1,1,1,22262817.0
Chennai,793.6371205497219,3,2,6.269453496223791,1,Fully Furnished,Top,3,1,0,1,1,0,1,10145911.0
Pune,1241.5765584130856,2,3,2.7723739904100104,1,Semi Furnished,Mid,3,0,0,0,1,0,0,12634446.0
Ahmedabad,1809.5164732942662,3,2,35.54812201613925,1,Fully Furnished,Mid,3,0,0,0,0,0,0,11473226.0
Bangalore,2196.019375793546,5,1,4.728069147141827,0,Fully Furnished,Ground,4,0,1,0,0,0,0,31655517.125
Mumbai,1555.564687648256,3,2,8.824049793210508,1,Unfurnished,Top,3,1,0,1,1,1,1,24287097.0
Chennai,2159.0985336170124,4,3,33.77000886274513,1,Semi Furnished,Top,2,0,0,1,0,0,1,19749783.0
Delhi,820.9125392612033,3,4,12.073561772072814,1,Semi Furnished,Ground,2,1,0,1,1,1,0,10857386.0
Ahmedabad,1278.3682675910486,3,3,40.51235083587498,1,Unfurnished,Mid,3,1,0,0,0,1,0,7260475.0
Chennai,1355.7124414229495,4,2,39.14693204357668,1,Fully Furnished,Top,4,0,1,1,1,1,0,14603672.0
Delhi,1442.7202862637403,4,4,9.28733092437366,2,Unfurnished,Top,4,0,0,1,1,1,1,22208706.0
Hyderabad,1542.0471941250983,5,3,13.097844106583858,1,Semi Furnished,Top,2,0,0,0,1,0,1,17024334.0
Hyderabad,1845.4554786960964,4,2,3.9265949269272142,1,Fully Furnished,Mid,1,1,0,1,1,1,1,24071483.0
Lucknow,1277.596580914755,3,2,69.9036150956081,1,Semi Furnished,Mid,4,1,0,1,0,0,0,6860243.0
Chennai,1569.5143434765628,3,2,4.8925323618758165,2,Fully Furnished,Ground,2,0,0,2,1,0,1,18065733.0
Hyderabad,1477.4385548379742,4,2,22.939104273276538,1,Fully Furnished,Mid,4,0,0,0,1,1,1,13534764.0
Delhi,1037.055048054425,3,4,5.630639274145965,0,Unfurnished,Mid,3,0,0,2,0,0,0,13946027.0
Lucknow,1443.1666554592823,2,1,5.632237582832494,1,Semi Furnished,Ground,3,0,0,1,1,0,0,8044740.0
Delhi,1428.1702350514408,3,2,1.6449284117296348,0,Unfurnished,Ground,2,0,0,1,1,1,0,17750264.0
Lucknow,1417.459717498477,3,2,12.31115679685325,0,Unfurnished,Top,3,1,0,2,0,1,0,9613947.0
Chennai,1515.8797282907253,2,2,4.21223228523538,1,Unfurnished,Mid,4,0,0,0,1,0,0,11886520.0
Ahmedabad,1537.836770306693,3,3,2.4094828533763204,2,Semi Furnished,Ground,3,1,0,1,1,1,1,12707065.0
Pune,1283.852410446335,2,2,3.855677085043638,1,Semi Furnished,Ground,3,0,0,0,0,1,1,11496129.0
Jaipur,2136.3573669856323,3,2,4.337110176788055,0,Fully Furnished,Top,4,1,0,1,0,0,1,18437692.0
Ahmedabad,915.2596853984917,4,4,10.520214370794625,0,Fully Furnished,Mid,3,1,0,0,0,1,1,8563123.0
Kolkata,1139.5149457650518,3,3,7.314525165914622,1,Fully Furnished,Top,4,0,0,2,0,1,1,12914904.0
Delhi,2858.437593116735,4,2,1.1773757328659422,1,Fully Furnished,Mid,1,0,0,0,1,0,1,31655517.125
Kolkata,981.0043225053851,3,2,11.518984945829574,2,Unfurnished,Ground,4,0,0,2,1,0,0,7342098.0
Ahmedabad,823.1226626451207,5,2,23.24967670820745,2,Fully Furnished,Top,2,1,0,1,0,1,1,7244565.0
Lucknow,1867.2383725006089,2,3,12.808021590154647,2,Semi Furnished,Mid,2,1,0,2,1,0,1,14796717.0
Jaipur,461.4400731130629,1,3,55.0598489050479,1,Fully Furnished,Ground,1,0,0,0,0,0,0,2414218.0
Jaipur,1382.3630450137805,4,2,1.5662512196080853,1,Semi Furnished,Top,4,0,1,0,1,1,1,13526530.0
Mumbai,2572.912462538244,4,3,25.818313182386312,0,Unfurnished,Top,1,1,0,0,0,0,1,31095446.0
Jaipur,727.5320389232998,2,1,10.568967442804361,0,Unfurnished,Ground,5,0,0,1,0,1,0,3467773.0
Pune,509.0177571306433,5,1,11.059469940217102,0,Semi Furnished,Mid,3,0,0,0,1,0,1,4828955.0
Jaipur,750.4093990211509,3,2,10.98143692209829,0,Unfurnished,Mid,3,0,0,2,0,1,1,4441271.0
Ahmedabad,1949.1797841734929,5,2,5.902725560056735,0,Semi Furnished,Top,3,0,0,0,1,1,1,16321491.0
Mumbai,2062.3883599929063,3,1,5.885753507235637,2,Semi Furnished,Ground,2,0,0,0,1,1,0,28892265.0
Ahmedabad,1243.7056015107455,3,3,14.98874840638364,1,Semi Furnished,Mid,4,0,1,0,1,1,1,10168223.0
Ahmedabad,1841.6062020005345,3,2,0.6869697728768888,2,Unfurnished,Mid,4,1,0,0,1,0,0,14161934.0
Bangalore,2195.127663755995,3,3,13.329624433412414,2,Fully Furnished,Mid,2,1,0,2,0,0,0,31655517.125
Mumbai,2393.6732072149125,3,3,19.342454854764924,2,Unfurnished,Top,4,0,0,0,1,0,1,31655517.125
Ahmedabad,1376.832359410076,3,3,6.60845022246177,2,Unfurnished,Top,4,0,0,1,0,1,1,11797875.0
Bangalore,400.0,1,2,3.6761782245984387,1,Unfurnished,Top,3,0,0,1,1,1,0,4561207.0
Bangalore,1089.5605387951566,2,2,3.6002817201549546,1,Unfurnished,Mid,2,1,0,1,1,0,0,11783020.0
Mumbai,1286.597902532371,2,2,1.2807485108295247,1,Unfurnished,Ground,3,1,0,1,0,0,1,16038278.0
Kolkata,1370.5306017108046,4,2,1.4100342989504133,2,Fully Furnished,Ground,2,0,0,1,1,1,1,14681789.0
Lucknow,1406.0702994956403,3,3,2.735204984266722,2,Fully Furnished,Ground,3,0,0,1,0,0,0,11473977.0
Pune,2059.4472989653345,4,2,0.2903863324208872,2,Semi Furnished,Top,5,1,0,0,1,1,1,27539373.0
Lucknow,2137.2142133437906,5,2,4.643505307599913,1,Fully Furnished,Mid,2,1,0,0,0,0,0,17631198.0
Jaipur,1414.1631730376084,3,2,5.487937362649969,1,Unfurnished,Mid,3,0,0,1,1,0,1,9230214.0
Pune,2049.2424380259095,5,3,80.0,2,Semi Furnished,Ground,2,0,0,2,1,0,0,17941840.0
Jaipur,1678.8306833155448,3,1,71.85035195429168,2,Unfurnished,Mid,3,1,0,1,1,0,1,8832309.0
Ahmedabad,1532.2529864312858,2,1,3.1062638017465676,1,Semi Furnished,Ground,1,0,0,0,1,0,1,10511279.0
Delhi,1953.2720785549818,3,3,3.593518395331713,1,Unfurnished,Top,4,0,0,2,0,0,1,25156481.0
Mumbai,1536.126024118958,3,1,10.156343076993501,2,Semi Furnished,Ground,3,0,0,1,0,0,1,18959144.0
Pune,2528.905588548881,4,1,2.4163463347608154,1,Semi Furnished,Top,2,0,0,0,1,1,0,30554194.0
Pune,780.7944166027204,3,2,10.518882110182794,2,Fully Furnished,Mid,3,1,0,2,1,0,1,9333226.0
Ahmedabad,1242.414550453991,2,2,7.647134730946926,0,Semi Furnished,Mid,4,0,0,1,1,1,1,9155941.0
Kolkata,1436.7405515230248,3,2,5.887260962805313,1,Fully Furnished,Top,1,1,0,1,0,0,1,15132114.0
Bangalore,1719.7263452289953,3,2,25.940660359131048,1,Fully Furnished,Mid,4,1,1,0,1,0,1,20615782.0
Ahmedabad,2133.9802435515444,2,3,26.414180080433688,1,Fully Furnished,Top,3,0,0,1,1,0,1,16543100.0
Hyderabad,1487.8007163819216,3,3,66.20519561744592,0,Semi Furnished,Ground,4,1,0,1,1,1,1,11045566.0
Bangalore,788.8851752468964,4,4,3.7864250697223207,0,Fully Furnished,Top,4,0,0,0,0,0,0,12590424.0
Mumbai,1921.256948227502,4,2,32.8760570282688,2,Fully Furnished,Ground,1,0,0,0,1,0,1,26472929.0
Bangalore,1877.4793830709823,3,1,11.577854369101262,1,Semi Furnished,Mid,4,0,0,0,1,1,1,21746563.0
Kolkata,529.0706703102969,3,4,13.42746087463813,1,Semi Furnished,Ground,3,0,0,1,0,1,0,4167241.0
Bangalore,1498.0979331646004,2,1,33.992815954926236,1,Unfurnished,Ground,1,1,1,2,0,1,0,13350944.0
Mumbai,704.929084659851,3,3,42.87371462859862,1,Unfurnished,Mid,4,1,1,0,1,0,1,9199432.0
Kolkata,1167.6744512489688,4,1,19.463885384175867,2,Semi Furnished,Mid,3,0,0,1,0,1,0,8242872.0
Lucknow,1048.5955365186,3,3,6.412036161622915,1,Fully Furnished,Ground,2,0,0,2,0,0,0,8360718.0
Pune,1904.6323491209928,2,3,10.090406466341685,1,Semi Furnished,Top,2,1,0,0,1,1,0,21712876.0
Pune,1558.415087086092,4,2,14.319777916743758,1,Semi Furnished,Ground,3,1,0,0,0,1,0,15819183.0
Jaipur,857.2044996219862,4,2,26.45983349688941,2,Unfurnished,Mid,1,0,1,1,0,1,0,5697563.0
Lucknow,1940.0329814786712,3,2,16.09187468034068,1,Unfurnished,Top,2,0,0,2,1,0,1,12116393.0
Lucknow,783.0970880357928,2,2,6.822531552352668,1,Semi Furnished,Ground,4,0,1,0,0,0,0,4858553.0
Bangalore,1665.0568952354718,2,2,8.116191634658898,2,Fully Furnished,Mid,3,1,0,0,0,1,0,22712265.0
Pune,1092.9946653542222,2,3,0.7763120932362286,1,Semi Furnished,Top,3,1,0,0,0,1,1,12916568.0
Mumbai,1317.16145873474,3,2,38.708289656126695,1,Semi Furnished,Mid,2,0,0,1,0,1,1,14370898.0
Chennai,1752.135374019192,2,2,1.383686917426532,0,Unfurnished,Top,2,0,0,2,0,0,1,16792548.0
Chennai,1760.7246995297646,4,2,13.010036957971383,1,Fully Furnished,Ground,3,0,0,0,1,0,1,18783616.0
Kolkata,2168.48453677798,5,2,30.795135433090355,1,Unfurnished,Top,4,1,1,0,1,0,1,17803372.0
Pune,1458.8731501642735,3,1,8.193301482090325,0,Fully Furnished,Top,1,1,0,1,0,0,0,15857696.0
Pune,1653.2254314816703,3,3,24.150983203684145,1,Semi Furnished,Ground,1,1,0,1,0,1,0,13025389.0
Chennai,1281.1313387978378,3,3,24.430540358132923,2,Semi Furnished,Top,4,1,1,1,1,0,1,13732372.0
Pune,1590.9949413113989,4,2,0.9256744258794477,0,Fully Furnished,Ground,4,0,0,0,1,0,0,17409692.0
Bangalore,1719.7430240042559,4,2,7.9690918871489185,0,Fully Furnished,Mid,3,0,0,0,0,0,0,21502886.0
Hyderabad,1450.845076272812,2,3,17.617447300109927,0,Semi Furnished,Mid,3,1,0,0,0,0,1,11013288.0
Delhi,598.1247579537519,2,2,8.231898072051933,1,Fully Furnished,Mid,2,1,1,1,0,1,1,9859440.0
Lucknow,1665.7354481654477,4,1,11.817382590312894,1,Semi Furnished,Ground,2,0,0,0,1,1,1,9855600.0
Jaipur,1682.2807386777286,3,2,13.537958996004468,1,Fully Furnished,Ground,4,1,0,2,1,1,1,14349249.0
Kolkata,1159.9132618260246,2,2,2.4594945300354274,2,Unfurnished,Ground,2,0,0,1,0,1,1,9471217.0
Hyderabad,857.8064819637428,3,2,7.964945538927935,0,Fully Furnished,Ground,3,0,1,0,0,0,1,8934716.0
Chennai,2237.9395752519827,4,4,0.43314230449811386,1,Unfurnished,Mid,3,0,0,0,0,1,0,22697695.0
Lucknow,1745.722755447201,2,2,2.43118686154835,0,Unfurnished,Ground,3,1,0,0,0,1,1,10280120.0
Pune,1385.4594845391453,4,3,10.76940945558993,0,Unfurnished,Mid,2,0,1,1,1,0,0,14680281.0
Jaipur,931.4835584262563,2,2,12.785168532226203,0,Unfurnished,Top,3,1,0,2,0,0,1,6003752.0
Pune,1089.0925857893271,4,3,2.3714790548520392,1,Unfurnished,Top,2,1,0,0,0,1,0,12195649.0
Mumbai,2151.2951983931157,3,2,21.135418527244255,1,Unfurnished,Mid,2,0,0,2,0,1,1,27329207.0
Mumbai,1568.8309704340231,3,1,7.001841314185129,0,Unfurnished,Top,3,0,1,1,1,1,1,24610402.0
Jaipur,1224.7064664996467,3,3,38.00828902602553,0,Fully Furnished,Mid,3,1,0,0,0,0,0,7137991.0
Jaipur,1754.8446156123282,4,3,7.3570806384400855,0,Fully Furnished,Ground,3,0,0,1,0,0,1,14662618.0
Chennai,1092.800906276838,4,2,2.4344486032974944,0,Unfurnished,Mid,3,0,0,1,1,0,1,10027348.0
Jaipur,2250.421515140189,3,3,21.280432330626912,0,Unfurnished,Ground,2,0,0,0,0,0,0,10653235.0
Bangalore,2176.4002674483627,3,2,12.58303030383706,0,Unfurnished,Top,2,0,0,2,0,0,0,22594064.0
Pune,1266.7129643986118,3,3,7.333226618723141,2,Fully Furnished,Mid,2,0,0,1,1,0,0,16412056.0
Hyderabad,1185.6648764845697,3,3,6.59985058020555,1,Fully Furnished,Ground,4,0,0,0,1,1,0,11893752.0
Ahmedabad,400.0,4,1,2.4513602060434723,1,Semi Furnished,Mid,1,1,0,1,1,0,1,3632182.0
Jaipur,759.2096142243159,1,2,6.251712469445244,2,Semi Furnished,Mid,2,0,0,1,0,0,1,4621766.0
Kolkata,830.2651125211219,2,2,0.44674938967972094,1,Semi Furnished,Mid,4,0,1,1,0,1,0,7429546.0
Mumbai,1567.5951704936929,3,3,10.469438762697918,1,Fully Furnished,Top,2,0,1,1,0,0,1,31042011.0
Bangalore,1336.88314777932,2,2,34.0552164434998,1,Fully Furnished,Ground,2,1,0,0,1,0,1,12987986.0
Lucknow,827.3322562923793,4,2,23.795403648568325,1,Fully Furnished,Top,4,0,0,1,0,0,1,5508982.0
Ahmedabad,1359.4179787677213,3,1,0.43403744174604797,2,Fully Furnished,Ground,1,1,0,0,0,0,1,12411230.0
Hyderabad,1752.6685738236743,3,3,31.962326968450952,0,Unfurnished,Mid,3,0,0,0,1,1,1,11828243.0
Ahmedabad,1763.9196749577936,4,2,9.031093818258132,0,Semi Furnished,Top,4,0,0,1,0,0,0,13523820.0
Jaipur,550.1648595705594,3,3,3.177333179694344,0,Semi Furnished,Ground,5,1,0,0,1,1,1,4453561.0
Chennai,1435.8682597580846,3,3,20.93983535593702,2,Semi Furnished,Ground,2,1,0,0,0,1,1,12148132.0
Mumbai,808.3296115141948,1,1,5.848458657917272,1,Unfurnished,Top,2,0,1,1,1,1,1,12957006.0
Mumbai,1950.8643485701368,3,2,4.381746809810936,2,Unfurnished,Ground,3,1,0,1,1,1,0,30185652.0
Lucknow,1892.0732081767492,2,4,2.638862280496019,1,Semi Furnished,Ground,2,0,0,1,0,1,1,12446334.0
Chennai,1050.9863868377709,3,2,10.001140225403443,1,Unfurnished,Mid,2,0,1,2,0,0,1,10087273.0
Pune,1116.9773987998,3,3,1.470709827999495,1,Fully Furnished,Ground,3,1,0,0,1,0,0,12835679.0
Delhi,1269.3664747508465,3,3,23.099596322980606,1,Unfurnished,Ground,1,1,0,0,0,0,1,11736943.0
Bangalore,400.0,3,3,9.542278039189085,1,Semi Furnished,Top,4,0,0,0,0,0,1,4846861.0
Mumbai,1667.9840867202884,2,2,8.885319487080636,1,Semi Furnished,Ground,2,0,0,1,0,0,1,21839364.0
Kolkata,1363.5777268299346,4,2,0.027835157788624,1,Unfurnished,Mid,2,1,0,0,0,0,0,10813443.0
Mumbai,1985.0875412839296,2,3,25.545012768756703,0,Fully Furnished,Top,4,1,1,1,0,1,1,29090364.0
Ahmedabad,950.7953910187236,4,2,10.183844166835831,1,Fully Furnished,Top,2,0,0,0,0,0,0,8393094.0
Mumbai,1190.4385258750342,3,3,8.694452332385929,1,Semi Furnished,Ground,4,1,0,2,0,1,1,18469571.0
Mumbai,746.7373709804424,3,2,21.493551357237735,2,Semi Furnished,Top,2,1,0,2,0,1,0,10440450.0
Delhi,997.8547182528735,3,2,0.9744559585065062,2,Unfurnished,Top,3,0,0,2,0,0,1,14073266.0
Delhi,909.0090019658905,5,2,6.85170263271969,1,Fully Furnished,Top,4,1,0,0,0,1,1,17135130.0
Hyderabad,1997.9868394232228,2,3,12.860918428805846,0,Unfurnished,Mid,3,0,0,0,1,0,1,13729137.0
Pune,1150.8690756243038,3,2,9.258844086601249,2,Semi Furnished,Mid,1,0,0,2,1,1,0,12588666.0
Kolkata,1562.0878423723068,5,2,3.0067737731256345,0,Unfurnished,Ground,3,0,0,2,0,1,1,12690853.0
Mumbai,1309.6182980690978,4,3,5.334628758568442,1,Semi Furnished,Mid,3,1,0,0,0,0,0,20683299.0
Mumbai,865.2673669935936,3,3,5.354422438740284,0,Semi Furnished,Ground,2,0,0,1,0,0,1,10761746.0
Bangalore,1415.8497884141786,5,4,72.37006090175831,1,Unfurnished,Top,5,1,0,0,1,0,1,16239037.0
Delhi,1799.5516659317973,3,1,5.9222650797358485,1,Unfurnished,Mid,4,0,0,2,1,0,1,22386356.0
Kolkata,896.1203037283238,2,3,3.444633000624757,1,Semi Furnished,Mid,1,1,0,0,1,1,0,7731813.0
Lucknow,1904.5563953656892,3,2,25.943364934390196,2,Fully Furnished,Mid,3,1,0,1,1,0,1,13513171.0
Hyderabad,1075.1395392611519,3,3,8.201229335522289,1,Fully Furnished,Mid,2,1,0,0,1,1,0,12165803.0
Pune,1258.5080369635796,3,3,8.801127914648532,1,Semi Furnished,Top,1,0,0,0,0,0,1,12847560.0
Chennai,1765.341561505024,4,2,11.940629861732537,1,Unfurnished,Top,1,0,1,1,1,1,1,20136645.0
Pune,1168.281921390256,3,2,13.583570746266577,0,Semi Furnished,Mid,3,1,1,1,0,1,0,11817917.0
Ahmedabad,1518.7874296679329,1,3,13.394312418679196,1,Fully Furnished,Top,2,0,0,1,1,1,1,12659487.0
Mumbai,1342.6545856059538,4,1,0.5266333440844173,1,Semi Furnished,Top,3,0,0,1,1,0,0,23307751.0
Hyderabad,1564.6840033519093,2,3,25.62582134907039,1,Semi Furnished,Top,3,1,0,0,0,0,1,11976277.0
Ahmedabad,400.0,5,1,3.2509527724224783,1,Semi Furnished,Ground,4,0,0,1,0,1,0,3220982.0
Kolkata,585.1590923959585,5,3,5.186918001231628,1,Fully Furnished,Mid,4,0,0,1,1,0,1,6473618.0
Chennai,1807.983503023419,4,2,2.857051351870372,1,Fully Furnished,Ground,3,1,0,0,0,0,0,20671618.0
Delhi,2018.5907028245251,4,2,21.855688227742068,1,Unfurnished,Ground,3,0,0,2,0,0,1,19018655.0
Hyderabad,1044.7566482342395,2,1,13.143723350628226,1,Unfurnished,Top,5,1,0,0,1,0,1,8001122.0
Hyderabad,1377.9858239144328,3,2,21.11559879528678,2,Fully Furnished,Ground,2,0,0,2,0,1,0,12057551.0
Mumbai,1647.3596264511507,2,2,15.893689516549648,1,Fully Furnished,Top,3,0,0,1,0,0,0,24348651.0
Jaipur,1846.608800829352,2,2,1.6498789353753003,0,Semi Furnished,Top,3,0,0,1,0,1,1,14444528.0
Hyderabad,486.1613641645756,3,1,5.382296690770178,1,Unfurnished,Ground,3,1,0,1,1,0,0,4024367.0
Bangalore,1056.9798765108114,1,3,10.616761480489858,1,Unfurnished,Mid,2,0,0,2,1,0,1,11102493.0
Chennai,1333.7103100750626,5,1,5.456465176188693,0,Semi Furnished,Mid,2,1,0,0,0,1,1,12851809.0
Chennai,1851.5700986180245,4,3,3.484730469053335,1,Unfurnished,Top,2,1,0,1,0,1,1,19455218.0
Bangalore,2749.2152418607475,3,2,30.581632226223498,1,Fully Furnished,Ground,4,1,0,0,1,0,0,27100335.0
Lucknow,1385.997136595141,3,2,20.662021920411767,1,Fully Furnished,Mid,3,0,0,2,1,1,1,9509736.0
Bangalore,796.5112689480056,3,2,6.351841051639118,2,Fully Furnished,Ground,2,1,0,1,0,1,1,12354270.0
Bangalore,1701.134038600649,4,2,21.723335597298814,2,Fully Furnished,Ground,3,0,0,0,1,1,0,19769142.0
Chennai,2160.497894770355,3,2,14.814328803232117,0,Semi Furnished,Ground,4,0,0,1,0,0,1,17107750.0
Pune,1554.0070604897505,2,2,0.05689376488354851,1,Unfurnished,Top,4,1,0,1,1,1,0,17053749.0
Chennai,1046.6757274228535,3,2,7.176877693087669,1,Semi Furnished,Top,1,1,0,0,0,0,0,10067782.0
Jaipur,1978.9969707400096,3,1,5.147657450412543,1,Semi Furnished,Top,4,0,0,0,0,0,0,13951091.0
Mumbai,1831.7728092492175,5,1,3.6867553983749786,0,Fully Furnished,Mid,5,1,0,0,1,1,1,31655517.125
Ahmedabad,986.9595779021878,2,1,4.347052698169068,0,Semi Furnished,Ground,3,1,0,0,0,1,1,6520399.0
Pune,1690.712808767171,2,2,42.8043389239626,0,Semi Furnished,Top,5,0,0,1,0,0,0,12623445.0
Delhi,1998.6327838294364,4,3,9.992236014937326,2,Semi Furnished,Ground,5,0,0,0,1,1,0,28964501.0
Ahmedabad,2090.945021279447,4,2,28.22940396714056,0,Fully Furnished,Ground,3,1,0,2,1,0,1,14720724.0
Mumbai,1466.775512345272,4,2,3.6161219959154183,0,Semi Furnished,Top,4,1,0,0,1,1,1,26376421.0
Jaipur,1320.9602769103406,3,1,2.874742298246489,0,Fully Furnished,Mid,2,1,0,2,0,0,1,10889948.0
Jaipur,2113.6369110406313,3,2,32.94496906917149,1,Fully Furnished,Top,4,0,0,0,1,0,0,15217823.0
Delhi,894.9197485095575,3,2,10.2688986239897,0,Unfurnished,Ground,3,1,0,2,0,0,1,10109358.0
Pune,1719.2896454605027,2,3,33.82867187801145,0,Semi Furnished,Ground,3,0,0,2,0,0,0,11699162.0
Lucknow,814.9866863177854,3,3,0.9765418505503012,1,Fully Furnished,Mid,4,0,0,1,0,1,1,6845490.0
Bangalore,2032.6881361298015,1,2,37.23205133407434,1,Unfurnished,Top,4,1,0,2,0,0,0,17718528.0
Pune,1370.9772421944192,3,2,8.053574192181017,1,Unfurnished,Ground,3,1,0,2,0,0,1,12533389.0
Lucknow,2134.2916178237347,4,2,2.532857916358133,1,Unfurnished,Ground,1,0,0,2,0,0,1,13445327.0
Jaipur,1745.7063781777636,3,2,17.250921848664053,0,Fully Furnished,Ground,3,0,0,0,1,0,1,10866533.0
Chennai,888.389884969035,4,3,23.911050332597423,0,Fully Furnished,Ground,4,0,0,1,0,1,0,6913639.0
